appointment_id,date,client_id,gender,age,style,price,artist,location
A00001,2021-01-01,C00001,F,40,Blackwork,482,monsternarii,London-UK
A00002,2021-01-01,C00002,F,27,Blackwork,437,monsternarii,London-UK
A00003,2021-01-01,C00003,F,26,Blackwork,362,monsternarii,London-UK
A00004,2021-01-01,C00004,F,32,Fineline,234,monsternarii,London-UK
A00005,2021-01-02,C00005,F,39,Fineline,206,monsternarii,London-UK
A00006,2021-01-02,C00006,M,40,Fineline,189,monsternarii,London-UK
A00007,2021-01-02,C00007,F,21,Fineline,200,monsternarii,London-UK
A00008,2021-01-02,C00008,F,33,Fineline,234,monsternarii,London-UK
A00009,2021-01-05,C00009,F,28,Fineline,204,monsternarii,London-UK
A00010,2021-01-05,C00010,F,31,Fineline,185,monsternarii,London-UK
A00011,2021-01-05,C00011,F,31,Fineline,228,monsternarii,London-UK
A00012,2021-01-05,C00012,F,32,Fineline,222,monsternarii,London-UK
A00013,2021-01-06,C00013,F,40,Fineline,194,monsternarii,London-UK
A00014,2021-01-06,C00014,F,38,Fineline,221,monsternarii,London-UK
A00015,2021-01-06,C00015,M,33,Blackwork,340,monsternarii,London-UK
A00016,2021-01-06,C00016,F,26,Fineline,196,monsternarii,London-UK
A00017,2021-01-07,C00017,F,36,Blackwork,484,monsternarii,London-UK
A00018,2021-01-07,C00018,F,23,Fineline,208,monsternarii,London-UK
A00019,2021-01-07,C00019,M,35,Fineline,201,monsternarii,London-UK
A00020,2021-01-07,C00020,F,36,Fineline,181,monsternarii,London-UK
A00021,2021-01-08,C00021,F,35,Fineline,235,monsternarii,London-UK
A00022,2021-01-08,C00022,F,33,Fineline,227,monsternarii,London-UK
A00023,2021-01-08,C00023,F,34,Fineline,201,monsternarii,London-UK
A00024,2021-01-08,C00024,F,22,Fineline,200,monsternarii,London-UK
A00025,2021-01-09,C00025,F,28,Fineline,192,monsternarii,London-UK
A00026,2021-01-09,C00026,F,25,Fineline,229,monsternarii,London-UK
A00027,2021-01-09,C00027,F,29,Fineline,198,monsternarii,London-UK
A00028,2021-01-09,C00028,F,35,Fineline,235,monsternarii,London-UK
A00029,2021-01-12,C00029,F,33,Fineline,195,monsternarii,London-UK
A00030,2021-01-12,C00030,F,31,Fineline,190,monsternarii,London-UK
A00031,2021-01-12,C00031,F,26,Fineline,192,monsternarii,London-UK
A00032,2021-01-12,C00032,F,40,Blackwork,419,monsternarii,London-UK
A00033,2021-01-13,C00033,F,34,Blackwork,486,monsternarii,London-UK
A00034,2021-01-13,C00034,F,20,Fineline,183,monsternarii,London-UK
A00035,2021-01-13,C00035,F,20,Fineline,210,monsternarii,London-UK
A00036,2021-01-13,C00036,F,35,Fineline,204,monsternarii,London-UK
A00037,2021-01-14,C00037,F,28,Fineline,196,monsternarii,London-UK
A00038,2021-01-14,C00038,M,33,Fineline,217,monsternarii,London-UK
A00039,2021-01-14,C00039,F,27,Fineline,208,monsternarii,London-UK
A00040,2021-01-14,C00040,M,33,Blackwork,421,monsternarii,London-UK
A00041,2021-01-15,C00041,F,35,Blackwork,412,monsternarii,London-UK
A00042,2021-01-15,C00042,F,28,Fineline,205,monsternarii,London-UK
A00043,2021-01-15,C00043,F,25,Fineline,226,monsternarii,London-UK
A00044,2021-01-15,C00044,F,35,Fineline,185,monsternarii,London-UK
A00045,2021-01-16,C00045,F,34,Fineline,226,monsternarii,London-UK
A00046,2021-01-16,C00046,F,22,Fineline,190,monsternarii,London-UK
